x           y           z           G           L           A           T
0.003900 0.000000 0.000000 435381.937679 2392719.701933 435994.038589 1802.270000
0.004100 0.000000 0.000000 434440.611545 2284159.695035 435061.166613 1781.470000
0.004300 0.000000 0.000000 433485.983384 2174191.741456 434114.979502 1759.630000
0.004500 0.000000 0.000000 432520.166014 2063296.498996 433157.522757 1736.750000
0.004700 0.000000 0.000000 431545.277066 1951953.443274 432190.847574 1712.830000
0.004900 0.000000 0.000000 430563.427332 1840638.016482 431216.999467 1687.870000
0.005100 0.000000 0.000000 429576.709178 1729818.761856 430238.006529 1661.870000
0.005300 0.000000 0.000000 428587.185068 1619954.459256 429255.868552 1634.830000
0.005500 0.000000 0.000000 427596.876287 1511491.277892 428272.545697 1606.750000
0.005700 0.000000 0.000000 426607.751925 1404859.962916 427289.948206 1577.630000
0.005900 0.000000 0.000000 425621.718185 1300473.073254 426309.925942 1547.470000
0.006100 0.000000 0.000000 424640.608109 1198722.288738 425334.258703 1516.270000
0.006300 0.000000 0.000000 423666.171770 1099975.805258 424364.647010 1484.030000
0.006500 0.000000 0.000000 422700.067015 1004575.837316 423402.703447 1450.750000
0.006700 0.000000 0.000000 421743.850831 912836.248040 422449.944947 1416.430000
0.006900 0.000000 0.000000 420798.971394 825040.327392 421507.785479 1381.070000
0.007100 0.000000 0.000000 419866.760894 741438.739956 420577.529772 1344.670000
0.007300 0.000000 0.000000 418948.429171 662247.664369 419660.368208 1307.230000
0.007500 0.000000 0.000000 418045.058265 587647.147131 418757.372216 1268.750000
0.007700 0.000000 0.000000 417157.597916 517779.694191 417869.491037 1229.230000
0.007900 0.000000 0.000000 416286.862096 452749.124378 416997.549765 1188.670000
0.008100 0.000000 0.000000 415433.526621 392619.709411 416142.248295 1147.070000
0.008300 0.000000 0.000000 414598.127901 337415.625902 415304.161772 1104.430000
0.008500 0.000000 0.000000 413781.062890 287120.745419 414483.742352 1060.750000
0.008700 0.000000 0.000000 412982.590267 241678.789347 413681.322428 1016.030000
0.008900 0.000000 0.000000 412202.832904 200993.875978 412897.119338 970.270000
0.009100 0.000000 0.000000 411441.781651 164931.487880 412131.241738 923.470000
0.009300 0.000000 0.000000 410699.300475 133319.888330 411383.697448 875.630000
0.009500 0.000000 0.000000 409975.132973 105952.016188 410654.403537 826.750000
0.009700 0.000000 0.000000 409268.910268 82587.889334 409943.197465 776.830000
0.009900 0.000000 0.000000 408580.160322 62957.547398 409249.850679 725.870000
