x           y           z           G           L           T
0.002467 0.000000 0.000000 441523.607657 3087688.262941 441654.992699 1920.902222
0.002600 0.000000 0.000000 441003.894709 3031607.601305 441135.153383 1912.120000
0.002733 0.000000 0.000000 440471.923471 2973404.263446 440603.038983 1902.875556
0.002867 0.000000 0.000000 439928.185573 2913196.951674 440059.141865 1893.168889
0.003000 0.000000 0.000000 439373.191163 2851108.147367 439503.973018 1883.000000
0.003133 0.000000 0.000000 438807.467536 2787263.812729 438938.060654 1872.368889
0.003267 0.000000 0.000000 438231.557731 2721793.082455 438361.948773 1861.275556
0.003400 0.000000 0.000000 437646.019110 2654827.945879 437776.195718 1849.720000
0.003533 0.000000 0.000000 437051.421899 2586502.920218 437181.372701 1837.702222
0.003667 0.000000 0.000000 436448.347719 2516954.715510 436578.062315 1825.222222
0.003800 0.000000 0.000000 435837.388087 2446321.891928 435966.857028 1812.280000
0.003933 0.000000 0.000000 435219.142910 2374744.510131 435348.357664 1798.875556
0.004067 0.000000 0.000000 434594.218954 2302363.775360 434723.171874 1785.008889
0.004200 0.000000 0.000000 433963.228319 2229321.676010 434091.912594 1770.680000
0.004333 0.000000 0.000000 433326.786886 2155760.617436 433455.196500 1755.888889
0.004467 0.000000 0.000000 432685.512785 2081823.051772 432813.642463 1740.635556
0.004600 0.000000 0.000000 432040.024841 2007651.104575 432167.870002 1724.920000
0.004733 0.000000 0.000000 431390.941038 1933386.199128 431518.497741 1708.742222
0.004867 0.000000 0.000000 430738.876988 1859168.679263 430866.141876 1692.102222
0.005000 0.000000 0.000000 430084.444407 1785137.431587 430211.414657 1675.000000
0.005133 0.000000 0.000000 429428.249615 1711429.508032 429554.922876 1657.435556
0.005267 0.000000 0.000000 428770.892043 1638179.749657 428897.266389 1639.408889
0.005400 0.000000 0.000000 428112.962778 1565520.412683 428239.036650 1620.920000
0.005533 0.000000 0.000000 427455.043127 1493580.797735 427580.815277 1601.968889
0.005667 0.000000 0.000000 426797.703214 1422486.883319 426923.172654 1582.555556
0.005800 0.000000 0.000000 426141.500614 1352360.964576 426266.666564 1562.680000
0.005933 0.000000 0.000000 425486.979029 1283321.298378 425611.840868 1542.342222
0.006067 0.000000 0.000000 424834.667005 1215481.755872 424959.224222 1521.542222
0.006200 0.000000 0.000000 424185.076701 1148951.483578 424309.328855 1500.280000
0.006333 0.000000 0.000000 423538.702710 1083834.574202 423662.649387 1478.555556
0.006467 0.000000 0.000000 422896.020936 1020229.748335 423019.661719 1456.368889
0.006600 0.000000 0.000000 422257.487536 958230.048233 422380.821979 1433.720000
0.006733 0.000000 0.000000 421623.537919 897922.544908 421746.565534 1410.608889
0.006867 0.000000 0.000000 420994.585830 839388.059787 421117.306082 1387.035556
