x           y           z           G           L           A           T
-0.006647 0.000000 0.000000 422537.127558 1982659.899754 449881.167344 1719.526816
-0.006626 0.000000 0.000000 422558.407335 1990833.823628 449920.436205 1721.296358
-0.006605 0.000000 0.000000 422579.650681 1999007.008879 449959.648166 1723.060301
-0.006584 0.000000 0.000000 422600.856754 2007179.267774 449998.801902 1724.818644
-0.006563 0.000000 0.000000 422622.024712 2015350.412411 450037.895971 1726.571387
-0.006542 0.000000 0.000000 422643.153713 2023520.254732 450076.929130 1728.318530
-0.006521 0.000000 0.000000 422664.242914 2031688.606524 450115.899930 1730.060073
-0.006500 0.000000 0.000000 422685.291474 2039855.279429 450154.807055 1731.796017
-0.006478 0.000000 0.000000 422706.298550 2048020.084948 450193.649230 1733.526361
-0.006458 0.000000 0.000000 422727.263299 2056182.834448 450232.424973 1735.251105
-0.006437 0.000000 0.000000 422748.184881 2064343.339167 450271.133027 1736.970249
-0.006416 0.000000 0.000000 422769.062451 2072501.410221 450309.772031 1738.683793
-0.006395 0.000000 0.000000 422789.895169 2080656.858611 450348.340588 1740.391738
-0.006374 0.000000 0.000000 422810.682191 2088809.495227 450386.837451 1742.094082
-0.006353 0.000000 0.000000 422831.422676 2096959.130855 450425.261150 1743.790827
-0.006332 0.000000 0.000000 422852.115783 2105105.576184 450463.610402 1745.481972
-0.006311 0.000000 0.000000 422872.760668 2113248.641810 450501.883904 1747.167517
-0.006290 0.000000 0.000000 422893.356491 2121388.138244 450540.080207 1748.847463
-0.006269 0.000000 0.000000 422913.902410 2129523.875918 450578.198078 1750.521808
-0.006248 0.000000 0.000000 422934.397583 2137655.665189 450616.236072 1752.190554
-0.006227 0.000000 0.000000 422954.841170 2145783.316349 450654.192888 1753.853700
-0.006206 0.000000 0.000000 422975.232329 2153906.639626 450692.067241 1755.511246
-0.006185 0.000000 0.000000 422995.570220 2162025.445193 450729.857672 1757.163192
-0.006164 0.000000 0.000000 423015.854002 2170139.543177 450767.562950 1758.809539
-0.006143 0.000000 0.000000 423036.082834 2178248.743657 450805.181650 1760.450286
-0.006122 0.000000 0.000000 423056.255878 2186352.856679 450842.712457 1762.085432
-0.006101 0.000000 0.000000 423076.372292 2194451.692254 450880.154100 1763.714980
-0.006079 0.000000 0.000000 423096.431239 2202545.060372 450917.505119 1765.338927
-0.006059 0.000000 0.000000 423116.431878 2210632.771001 450954.764285 1766.957274
-0.006038 0.000000 0.000000 423136.373370 2218714.634097 450991.930182 1768.570022
-0.006017 0.000000 0.000000 423156.254879 2226790.459609 451029.001497 1770.177169
-0.005996 0.000000 0.000000 423176.075564 2234860.057486 451065.976960 1771.778717
-0.005975 0.000000 0.000000 423195.834590 2242923.237679 451102.855118 1773.374666
-0.005954 0.000000 0.000000 423215.531118 2250979.810154 451139.634752 1774.965014
-0.005933 0.000000 0.000000 423235.164312 2259029.584891 451176.314435 1776.549762
-0.005912 0.000000 0.000000 423254.733335 2267072.371896 451212.892875 1778.128911
-0.005891 0.000000 0.000000 423274.237352 2275107.981200 451249.368789 1779.702460
-0.005870 0.000000 0.000000 423293.675528 2283136.222873 451285.740745 1781.270409
-0.005849 0.000000 0.000000 423313.047026 2291156.907024 451322.007530 1782.832758
-0.005828 0.000000 0.000000 423332.351013 2299169.843810 451358.167703 1784.389508
-0.005807 0.000000 0.000000 423351.586656 2307174.843439 451394.220002 1785.940657
-0.005786 0.000000 0.000000 423370.753120 2315171.716181 451430.163114 1787.486207
-0.005765 0.000000 0.000000 423389.849573 2323160.272367 451465.995649 1789.026157
-0.005744 0.000000 0.000000 423408.875182 2331140.322403 451501.716387 1790.560507
-0.005723 0.000000 0.000000 423427.829117 2339111.676769 451537.323881 1792.089257
-0.005702 0.000000 0.000000 423446.710546 2347074.146029 451572.816912 1793.612408
-0.005681 0.000000 0.000000 423465.518638 2355027.540834 451608.194096 1795.129958
-0.005660 0.000000 0.000000 423484.252565 2362971.671931 451643.454128 1796.641909
-0.005639 0.000000 0.000000 423502.911497 2370906.350167 451678.595748 1798.148260
-0.005618 0.000000 0.000000 423521.494606 2378831.386495 451713.617538 1799.649012
-0.005597 0.000000 0.000000 423540.001064 2386746.591981 451748.518296 1801.144163
-0.005576 0.000000 0.000000 423558.430044 2394651.777808 451783.296595 1802.633715
-0.005555 0.000000 0.000000 423576.780720 2402546.755285 451817.951205 1804.117666
-0.005534 0.000000 0.000000 423595.052266 2410431.335847 451852.480781 1805.596018
-0.005513 0.000000 0.000000 423613.243859 2418305.331069 451886.884001 1807.068770
-0.005492 0.000000 0.000000 423631.354673 2426168.552665 451921.159625 1808.535923
-0.005471 0.000000 0.000000 423649.383887 2434020.812497 451955.306241 1809.997475
-0.005450 0.000000 0.000000 423667.330677 2441861.922580 451989.322659 1811.453428
-0.005429 0.000000 0.000000 423685.194223 2449691.695089 452023.207462 1812.903781
-0.005408 0.000000 0.000000 423702.973704 2457509.942362 452056.959434 1814.348534
-0.005387 0.000000 0.000000 423720.668299 2465316.476909 452090.577224 1815.787687
-0.005366 0.000000 0.000000 423738.277191 2473111.111416 452124.059543 1817.221241
-0.005345 0.000000 0.000000 423755.799562 2480893.658752 452157.405140 1818.649194
-0.005324 0.000000 0.000000 423773.234594 2488663.931972 452190.612632 1820.071548
-0.005303 0.000000 0.000000 423790.581471 2496421.744326 452223.680832 1821.488302
-0.005282 0.000000 0.000000 423807.839379 2504166.909264 452256.608329 1822.899456
-0.005261 0.000000 0.000000 423825.007503 2511899.240441 452289.393943 1824.305010
-0.005240 0.000000 0.000000 423842.085031 2519618.551722 452322.036290 1825.704965
-0.005219 0.000000 0.000000 423859.071150 2527324.657189 452354.534145 1827.099319
-0.005198 0.000000 0.000000 423875.965049 2535017.371147 452386.886202 1828.488074
-0.005177 0.000000 0.000000 423892.765918 2542696.508128 452419.091161 1829.871229
-0.005156 0.000000 0.000000 423909.472948 2550361.882898 452451.147797 1831.248785
-0.005135 0.000000 0.000000 423926.085332 2558013.310464 452483.054741 1832.620740
-0.005113 0.000000 0.000000 423942.602262 2565650.606075 452514.810821 1833.987096
-0.005093 0.000000 0.000000 423959.022934 2573273.585234 452546.414643 1835.347851
-0.005072 0.000000 0.000000 423975.346541 2580882.063698 452577.865047 1836.703007
-0.005051 0.000000 0.000000 423991.572282 2588475.857487 452609.160655 1838.052563
-0.005030 0.000000 0.000000 424007.699353 2596054.782889 452640.300285 1839.396520
-0.005009 0.000000 0.000000 424023.726955 2603618.656463 452671.282600 1840.734876
-0.004988 0.000000 0.000000 424039.654286 2611167.295049 452702.106372 1842.067633
-0.004967 0.000000 0.000000 424055.480548 2618700.515770 452732.770336 1843.394790
-0.004946 0.000000 0.000000 424071.204945 2626218.136041 452763.273199 1844.716347
-0.004925 0.000000 0.000000 424086.826679 2633719.973570 452793.613758 1846.032304
-0.004903 0.000000 0.000000 424102.344956 2641205.846366 452823.790675 1847.342662
-0.004882 0.000000 0.000000 424117.758982 2648675.572747 452853.802788 1848.647419
-0.004862 0.000000 0.000000 424133.067964 2656128.971341 452883.648738 1849.946577
-0.004841 0.000000 0.000000 424148.271113 2663565.861093 452913.327382 1851.240135
-0.004820 0.000000 0.000000 424163.367638 2670986.061273 452942.837359 1852.528093
-0.004799 0.000000 0.000000 424178.356751 2678389.391477 452972.177531 1853.810451
-0.004778 0.000000 0.000000 424193.237664 2685775.671638 453001.346549 1855.087210
-0.004757 0.000000 0.000000 424208.009593 2693144.722026 453030.343264 1856.358369
-0.004736 0.000000 0.000000 424222.671753 2700496.363256 453059.166351 1857.623927
-0.004714 0.000000 0.000000 424237.223360 2707830.416293 453087.814645 1858.883886
-0.004694 0.000000 0.000000 424251.663635 2715146.702460 453116.286850 1860.138246
-0.004673 0.000000 0.000000 424265.991797 2722445.043438 453144.581776 1861.387005
-0.004652 0.000000 0.000000 424280.207067 2729725.261276 453172.698166 1862.630165
-0.004631 0.000000 0.000000 424294.308668 2736987.178394 453200.634800 1863.867724
-0.004610 0.000000 0.000000 424308.295826 2744230.617589 453228.390459 1865.099684
-0.004589 0.000000 0.000000 424322.167765 2751455.402040 453255.963898 1866.326045
-0.004568 0.000000 0.000000 424335.923714 2758661.355317 453283.353930 1867.546805
-0.004547 0.000000 0.000000 424349.562901 2765848.301377 453310.559290 1868.761965
